record_count,1659
subject_count,250
visit_count,7
distinct_visits,[0. 1. 2. 3. 4. 5. 6.]
min_date,2016-03-23 00:00:00
max_date,2019-07-16 00:00:00
missing_subject_count,0
missing_visit_count,0
missing_date_count,0
duplicate_count,0
outlier_date_low_count,0
anchor_visit,0.0
v1.0_v0.0_interval_days_range,0 - 790
v1.0_v0.0_interval_days_min5,"[(421144.0, 0.0), (421146.0, 0.0), (421500.0, 0.0), (421516.0, 0.0), (421866.0, 0.0)]"
v1.0_v0.0_interval_days_max5,"[(421204.0, 790.0), (421444.0, 551.0), (421776.0, 56.0), (421294.0, 53.0), (421919.0, 45.0)]"
v2.0_v0.0_interval_days_range,14.0 - 806.0
v2.0_v0.0_interval_days_min5,"[(421909.0, 14.0), (421144.0, 15.0), (421516.0, 15.0), (422011.0, 15.0), (422051.0, 15.0)]"
v2.0_v0.0_interval_days_max5,"[(421204.0, 806.0), (421444.0, 565.0), (421822.0, 122.0), (421776.0, 80.0), (421619.0, 74.0)]"
v3.0_v0.0_interval_days_range,28.0 - 821.0
v3.0_v0.0_interval_days_min5,"[(421866.0, 28.0), (421909.0, 28.0), (422051.0, 28.0), (421144.0, 29.0), (421516.0, 29.0)]"
v3.0_v0.0_interval_days_max5,"[(421204.0, 821.0), (421444.0, 579.0), (421776.0, 94.0), (421619.0, 88.0), (421153.0, 85.0)]"
v4.0_v0.0_interval_days_range,42.0 - 834.0
v4.0_v0.0_interval_days_min5,"[(421909.0, 42.0), (422051.0, 42.0), (421125.0, 43.0), (421144.0, 43.0), (421516.0, 43.0)]"
v4.0_v0.0_interval_days_max5,"[(421204.0, 834.0), (421444.0, 593.0), (421776.0, 112.0), (421619.0, 102.0), (421153.0, 98.0)]"
v5.0_v0.0_interval_days_range,56.0 - 848.0
v5.0_v0.0_interval_days_min5,"[(421909.0, 56.0), (422051.0, 56.0), (421125.0, 57.0), (421144.0, 57.0), (421516.0, 57.0)]"
v5.0_v0.0_interval_days_max5,"[(421204.0, 848.0), (421444.0, 607.0), (421776.0, 122.0), (421619.0, 116.0), (421153.0, 113.0)]"
v6.0_v0.0_interval_days_range,71.0 - 863.0
v6.0_v0.0_interval_days_min5,"[(421144.0, 71.0), (421909.0, 71.0), (421068.0, 72.0), (421516.0, 72.0), (421125.0, 73.0)]"
v6.0_v0.0_interval_days_max5,"[(421204.0, 863.0), (421153.0, 636.0), (421444.0, 627.0), (421170.0, 623.0), (421210.0, 611.0)]"
visit_0.0_record_count,250
visit_1.0_record_count,250
visit_2.0_record_count,247
visit_3.0_record_count,228
visit_4.0_record_count,228
visit_5.0_record_count,228
visit_6.0_record_count,228
